date	close
1	93.24
2	95.35
3	98.84
4	99.92
5	99.80
6	99.47
7	100.39
8	100.40
9	100.81
10	103.92
11	105.06
12	106.88
13	107.34
14	108.74
15	109.36
16	107.52
17	107.34
18	109.44
19	110.02
20	111.98
21	113.54
22	112.89
23	110.69
24	113.62
25	114.35
26	118.77
27	121.19
28	118.40
29	121.33
30	122.67
31	123.64
32	124.07
33	124.49
34	120.19
35	120.38
36	117.50
37	118.75
38	120.50
39	125.09
40	123.66
41	121.55
42	123.90
43	123.00
44	122.34
45	119.65
46	121.89
47	120.56
48	122.04
49	121.26
